Local Government District 1993 Code,Local Government District 1993 Label,Religion - 8 Categories Code,Religion - 8 Categories Label,Age - 19 Categories Code,Age - 19 Categories Label,Sex Code,Sex Label,Count
95AA,Antrim,2,Presbyterian Church in Ireland,6,25-29 years,2,Male,283
95AA,Antrim,2,Presbyterian Church in Ireland,7,30-34 years,1,Female,282
95AA,Antrim,2,Presbyterian Church in Ireland,7,30-34 years,2,Male,250
95AA,Antrim,2,Presbyterian Church in Ireland,8,35-39 years,1,Female,310
95AA,Antrim,2,Presbyterian Church in Ireland,8,35-39 years,2,Male,331
95AA,Antrim,2,Presbyterian Church in Ireland,9,40-44 years,1,Female,336
95AA,Antrim,2,Presbyterian Church in Ireland,9,40-44 years,2,Male,391
95AA,Antrim,2,Presbyterian Church in Ireland,10,45-49 years,1,Female,450
95AA,Antrim,2,Presbyterian Church in Ireland,10,45-49 years,2,Male,415
95AA,Antrim,2,Presbyterian Church in Ireland,11,50-54 years,1,Female,474
95AA,Antrim,2,Presbyterian Church in Ireland,11,50-54 years,2,Male,476
95AA,Antrim,2,Presbyterian Church in Ireland,12,55-59 years,1,Female,465
95AA,Antrim,2,Presbyterian Church in Ireland,12,55-59 years,2,Male,495
95AA,Antrim,2,Presbyterian Church in Ireland,13,60-64 years,1,Female,410
95AA,Antrim,2,Presbyterian Church in Ireland,13,60-64 years,2,Male,389
95AA,Antrim,2,Presbyterian Church in Ireland,14,65-69 years,1,Female,378
95AA,Antrim,2,Presbyterian Church in Ireland,14,65-69 years,2,Male,374
95AA,Antrim,2,Presbyterian Church in Ireland,15,70-74 years,1,Female,415
95AA,Antrim,2,Presbyterian Church in Ireland,15,70-74 years,2,Male,403
95AA,Antrim,2,Presbyterian Church in Ireland,16,75-79 years,1,Female,415
95AA,Antrim,2,Presbyterian Church in Ireland,16,75-79 years,2,Male,348
95AA,Antrim,2,Presbyterian Church in Ireland,17,80-84 years,1,Female,269
95AA,Antrim,2,Presbyterian Church in Ireland,17,80-84 years,2,Male,226
95AA,Antrim,2,Presbyterian Church in Ireland,18,85-89 years,1,Female,150
95AA,Antrim,2,Presbyterian Church in Ireland,18,85-89 years,2,Male,131
95AA,Antrim,2,Presbyterian Church in Ireland,19,90+ years,1,Female,106
95AA,Antrim,2,Presbyterian Church in Ireland,19,90+ years,2,Male,33
95AA,Antrim,3,Church of Ireland,1,0-4 years,1,Female,85
95AA,Antrim,3,Church of Ireland,1,0-4 years,2,Male,106
95AA,Antrim,3,Church of Ireland,2,5-9 years,1,Female,119
95AA,Antrim,3,Church of Ireland,2,5-9 years,2,Male,107
95AA,Antrim,3,Church of Ireland,3,10-14 years,1,Female,175
95AA,Antrim,3,Church of Ireland,3,10-14 years,2,Male,145
95AA,Antrim,3,Church of Ireland,4,15-19 years,1,Female,134
95AA,Antrim,3,Church of Ireland,4,15-19 years,2,Male,155
95AA,Antrim,3,Church of Ireland,5,20-24 years,1,Female,112
95AA,Antrim,3,Church of Ireland,5,20-24 years,2,Male,118
95AA,Antrim,3,Church of Ireland,6,25-29 years,1,Female,107
95AA,Antrim,3,Church of Ireland,6,25-29 years,2,Male,110
95AA,Antrim,3,Church of Ireland,7,30-34 years,1,Female,125
95AA,Antrim,3,Church of Ireland,7,30-34 years,2,Male,94
95AA,Antrim,3,Church of Ireland,8,35-39 years,1,Female,150
95AA,Antrim,3,Church of Ireland,8,35-39 years,2,Male,119
95AA,Antrim,3,Church of Ireland,9,40-44 years,1,Female,147
95AA,Antrim,3,Church of Ireland,9,40-44 years,2,Male,119
95AA,Antrim,3,Church of Ireland,10,45-49 years,1,Female,214
95AA,Antrim,3,Church of Ireland,10,45-49 years,2,Male,180
95AA,Antrim,3,Church of Ireland,11,50-54 years,1,Female,244
95AA,Antrim,3,Church of Ireland,11,50-54 years,2,Male,197
95AA,Antrim,3,Church of Ireland,12,55-59 years,1,Female,259
95AA,Antrim,3,Church of Ireland,12,55-59 years,2,Male,220
95AA,Antrim,3,Church of Ireland,13,60-64 years,1,Female,189
95AA,Antrim,3,Church of Ireland,13,60-64 years,2,Male,161
95AA,Antrim,3,Church of Ireland,14,65-69 years,1,Female,185
95AA,Antrim,3,Church of Ireland,14,65-69 years,2,Male,169
95AA,Antrim,3,Church of Ireland,15,70-74 years,1,Female,193
95AA,Antrim,3,Church of Ireland,15,70-74 years,2,Male,170
95AA,Antrim,3,Church of Ireland,16,75-79 years,1,Female,171
95AA,Antrim,3,Church of Ireland,16,75-79 years,2,Male,130
95AA,Antrim,3,Church of Ireland,17,80-84 years,1,Female,118
95AA,Antrim,3,Church of Ireland,17,80-84 years,2,Male,70
95AA,Antrim,3,Church of Ireland,18,85-89 years,1,Female,70
95AA,Antrim,3,Church of Ireland,18,85-89 years,2,Male,53
95AA,Antrim,3,Church of Ireland,19,90+ years,1,Female,41
95AA,Antrim,3,Church of Ireland,19,90+ years,2,Male,11
95AA,Antrim,4,Methodist Church in Ireland,1,0-4 years,1,Female,11
95AA,Antrim,4,Methodist Church in Ireland,1,0-4 years,2,Male,17
95AA,Antrim,4,Methodist Church in Ireland,2,5-9 years,1,Female,11
95AA,Antrim,4,Methodist Church in Ireland,2,5-9 years,2,Male,12
95AA,Antrim,4,Methodist Church in Ireland,3,10-14 years,1,Female,21
95AA,Antrim,4,Methodist Church in Ireland,3,10-14 years,2,Male,20
95AA,Antrim,4,Methodist Church in Ireland,4,15-19 years,1,Female,15
95AA,Antrim,4,Methodist Church in Ireland,4,15-19 years,2,Male,22
95AA,Antrim,4,Methodist Church in Ireland,5,20-24 years,1,Female,12
95AA,Antrim,4,Methodist Church in Ireland,5,20-24 years,2,Male,23
95AA,Antrim,4,Methodist Church in Ireland,6,25-29 years,1,Female,16
95AA,Antrim,4,Methodist Church in Ireland,6,25-29 years,2,Male,11
95AA,Antrim,4,Methodist Church in Ireland,7,30-34 years,1,Female,15
95AA,Antrim,4,Methodist Church in Ireland,7,30-34 years,2,Male,16
95AA,Antrim,4,Methodist Church in Ireland,8,35-39 years,1,Female,22
95AA,Antrim,4,Methodist Church in Ireland,8,35-39 years,2,Male,11
95AA,Antrim,4,Methodist Church in Ireland,9,40-44 years,1,Female,22
95AA,Antrim,4,Methodist Church in Ireland,9,40-44 years,2,Male,10
95AA,Antrim,4,Methodist Church in Ireland,10,45-49 years,1,Female,38
95AA,Antrim,4,Methodist Church in Ireland,10,45-49 years,2,Male,27
95AA,Antrim,4,Methodist Church in Ireland,11,50-54 years,1,Female,28
95AA,Antrim,4,Methodist Church in Ireland,11,50-54 years,2,Male,23
95AA,Antrim,4,Methodist Church in Ireland,12,55-59 years,1,Female,37
95AA,Antrim,4,Methodist Church in Ireland,12,55-59 years,2,Male,33
95AA,Antrim,4,Methodist Church in Ireland,13,60-64 years,1,Female,28
95AA,Antrim,4,Methodist Church in Ireland,13,60-64 years,2,Male,24
95AA,Antrim,4,Methodist Church in Ireland,14,65-69 years,1,Female,26
95AA,Antrim,4,Methodist Church in Ireland,14,65-69 years,2,Male,31
95AA,Antrim,4,Methodist Church in Ireland,15,70-74 years,1,Female,34
95AA,Antrim,4,Methodist Church in Ireland,15,70-74 years,2,Male,27
95AA,Antrim,4,Methodist Church in Ireland,16,75-79 years,1,Female,21
95AA,Antrim,4,Methodist Church in Ireland,16,75-79 years,2,Male,18
95AA,Antrim,4,Methodist Church in Ireland,17,80-84 years,1,Female,20
95AA,Antrim,4,Methodist Church in Ireland,17,80-84 years,2,Male,10
95AA,Antrim,4,Methodist Church in Ireland,18,85-89 years,1,Female,10
95AA,Antrim,4,Methodist Church in Ireland,18,85-89 years,2,Male,7
95AA,Antrim,4,Methodist Church in Ireland,19,90+ years,1,Female,4
95AA,Antrim,4,Methodist Church in Ireland,19,90+ years,2,Male,4
95AA,Antrim,5,Other Christian (including Christian related),1,0-4 years,1,Female,125
95AA,Antrim,5,Other Christian (including Christian related),1,0-4 years,2,Male,125
95AA,Antrim,5,Other Christian (including Christian related),2,5-9 years,1,Female,121
95AA,Antrim,5,Other Christian (including Christian related),2,5-9 years,2,Male,129
95AA,Antrim,5,Other Christian (including Christian related),3,10-14 years,1,Female,134
95AA,Antrim,5,Other Christian (including Christian related),3,10-14 years,2,Male,133
95AA,Antrim,5,Other Christian (including Christian related),4,15-19 years,1,Female,117
95AA,Antrim,5,Other Christian (including Christian related),4,15-19 years,2,Male,98
95AA,Antrim,5,Other Christian (including Christian related),5,20-24 years,1,Female,103
95AA,Antrim,5,Other Christian (including Christian related),5,20-24 years,2,Male,120
95AA,Antrim,5,Other Christian (including Christian related),6,25-29 years,1,Female,132
95AA,Antrim,5,Other Christian (including Christian related),6,25-29 years,2,Male,123
95AA,Antrim,5,Other Christian (including Christian related),7,30-34 years,1,Female,155
95AA,Antrim,5,Other Christian (including Christian related),7,30-34 years,2,Male,162
95AA,Antrim,5,Other Christian (including Christian related),8,35-39 years,1,Female,157
95AA,Antrim,5,Other Christian (including Christian related),8,35-39 years,2,Male,134
95AA,Antrim,5,Other Christian (including Christian related),9,40-44 years,1,Female,161
95AA,Antrim,5,Other Christian (including Christian related),9,40-44 years,2,Male,140
95AA,Antrim,5,Other Christian (including Christian related),10,45-49 years,1,Female,140
95AA,Antrim,5,Other Christian (including Christian related),10,45-49 years,2,Male,137
95AA,Antrim,5,Other Christian (including Christian related),11,50-54 years,1,Female,134
95AA,Antrim,5,Other Christian (including Christian related),11,50-54 years,2,Male,138
95AA,Antrim,5,Other Christian (including Christian related),12,55-59 years,1,Female,148
95AA,Antrim,5,Other Christian (including Christian related),12,55-59 years,2,Male,134
95AA,Antrim,5,Other Christian (including Christian related),13,60-64 years,1,Female,112
95AA,Antrim,5,Other Christian (including Christian related),13,60-64 years,2,Male,133
95AA,Antrim,5,Other Christian (including Christian related),14,65-69 years,1,Female,96
95AA,Antrim,5,Other Christian (including Christian related),14,65-69 years,2,Male,83
95AA,Antrim,5,Other Christian (including Christian related),15,70-74 years,1,Female,77
95AA,Antrim,5,Other Christian (including Christian related),15,70-74 years,2,Male,76
95AA,Antrim,5,Other Christian (including Christian related),16,75-79 years,1,Female,71
95AA,Antrim,5,Other Christian (including Christian related),16,75-79 years,2,Male,53
95AA,Antrim,5,Other Christian (including Christian related),17,80-84 years,1,Female,46
95AA,Antrim,5,Other Christian (including Christian related),17,80-84 years,2,Male,42
95AA,Antrim,5,Other Christian (including Christian related),18,85-89 years,1,Female,20
95AA,Antrim,5,Other Christian (including Christian related),18,85-89 years,2,Male,17
95AA,Antrim,5,Other Christian (including Christian related),19,90+ years,1,Female,7
95AA,Antrim,5,Other Christian (including Christian related),19,90+ years,2,Male,6
95AA,Antrim,6,Other religions,1,0-4 years,1,Female,27
95AA,Antrim,6,Other religions,1,0-4 years,2,Male,28
95AA,Antrim,6,Other religions,2,5-9 years,1,Female,30
95AA,Antrim,6,Other religions,2,5-9 years,2,Male,36
95AA,Antrim,6,Other religions,3,10-14 years,1,Female,30
95AA,Antrim,6,Other religions,3,10-14 years,2,Male,25
95AA,Antrim,6,Other religions,4,15-19 years,1,Female,17
95AA,Antrim,6,Other religions,4,15-19 years,2,Male,27
95AA,Antrim,6,Other religions,5,20-24 years,1,Female,18
95AA,Antrim,6,Other religions,5,20-24 years,2,Male,22
95AA,Antrim,6,Other religions,6,25-29 years,1,Female,22
95AA,Antrim,6,Other religions,6,25-29 years,2,Male,33
95AA,Antrim,6,Other religions,7,30-34 years,1,Female,36
95AA,Antrim,6,Other religions,7,30-34 years,2,Male,37
95AA,Antrim,6,Other religions,8,35-39 years,1,Female,40
95AA,Antrim,6,Other religions,8,35-39 years,2,Male,41
95AA,Antrim,6,Other religions,9,40-44 years,1,Female,29
95AA,Antrim,6,Other religions,9,40-44 years,2,Male,35
95AA,Antrim,6,Other religions,10,45-49 years,1,Female,30
95AA,Antrim,6,Other religions,10,45-49 years,2,Male,32
95AA,Antrim,6,Other religions,11,50-54 years,1,Female,15
95AA,Antrim,6,Other religions,11,50-54 years,2,Male,35
95AA,Antrim,6,Other religions,12,55-59 years,1,Female,16
95AA,Antrim,6,Other religions,12,55-59 years,2,Male,19
95AA,Antrim,6,Other religions,13,60-64 years,1,Female,7
95AA,Antrim,6,Other religions,13,60-64 years,2,Male,9
95AA,Antrim,6,Other religions,14,65-69 years,1,Female,12
95AA,Antrim,6,Other religions,14,65-69 years,2,Male,13
95AA,Antrim,6,Other religions,15,70-74 years,1,Female,8
95AA,Antrim,6,Other religions,15,70-74 years,2,Male,6
95AA,Antrim,6,Other religions,16,75-79 years,1,Female,7
95AA,Antrim,6,Other religions,16,75-79 years,2,Male,5
95AA,Antrim,6,Other religions,17,80-84 years,1,Female,4
95AA,Antrim,6,Other religions,17,80-84 years,2,Male,1
95AA,Antrim,6,Other religions,18,85-89 years,1,Female,6
95AA,Antrim,6,Other religions,18,85-89 years,2,Male,3
95AA,Antrim,6,Other religions,19,90+ years,1,Female,0
95AA,Antrim,6,Other religions,19,90+ years,2,Male,3
95AA,Antrim,7,No religion,1,0-4 years,1,Female,481
95AA,Antrim,7,No religion,1,0-4 years,2,Male,508
95AA,Antrim,7,No religion,2,5-9 years,1,Female,401
95AA,Antrim,7,No religion,2,5-9 years,2,Male,436
95AA,Antrim,7,No religion,3,10-14 years,1,Female,380
95AA,Antrim,7,No religion,3,10-14 years,2,Male,397
95AA,Antrim,7,No religion,4,15-19 years,1,Female,333
95AA,Antrim,7,No religion,4,15-19 years,2,Male,407
95AA,Antrim,7,No religion,5,20-24 years,1,Female,401
95AA,Antrim,7,No religion,5,20-24 years,2,Male,592
95AA,Antrim,7,No religion,6,25-29 years,1,Female,477
95AA,Antrim,7,No religion,6,25-29 years,2,Male,627
95AA,Antrim,7,No religion,7,30-34 years,1,Female,475
95AA,Antrim,7,No religion,7,30-34 years,2,Male,552
95AA,Antrim,7,No religion,8,35-39 years,1,Female,401
95AA,Antrim,7,No religion,8,35-39 years,2,Male,486
95AA,Antrim,7,No religion,9,40-44 years,1,Female,340
95AA,Antrim,7,No religion,9,40-44 years,2,Male,462
95AA,Antrim,7,No religion,10,45-49 years,1,Female,363
95AA,Antrim,7,No religion,10,45-49 years,2,Male,409
95AA,Antrim,7,No religion,11,50-54 years,1,Female,300
95AA,Antrim,7,No religion,11,50-54 years,2,Male,399
95AA,Antrim,7,No religion,12,55-59 years,1,Female,249
95AA,Antrim,7,No religion,12,55-59 years,2,Male,374
95AA,Antrim,7,No religion,13,60-64 years,1,Female,193
95AA,Antrim,7,No religion,13,60-64 years,2,Male,248
95AA,Antrim,7,No religion,14,65-69 years,1,Female,145
95AA,Antrim,7,No religion,14,65-69 years,2,Male,177
95AA,Antrim,7,No religion,15,70-74 years,1,Female,103
95AA,Antrim,7,No religion,15,70-74 years,2,Male,149
95AA,Antrim,7,No religion,16,75-79 years,1,Female,53
95AA,Antrim,7,No religion,16,75-79 years,2,Male,88
95AA,Antrim,7,No religion,17,80-84 years,1,Female,20
95AA,Antrim,7,No religion,17,80-84 years,2,Male,40
95AA,Antrim,7,No religion,18,85-89 years,1,Female,10
95AA,Antrim,7,No religion,18,85-89 years,2,Male,14
95AA,Antrim,7,No religion,19,90+ years,1,Female,9
95AA,Antrim,7,No religion,19,90+ years,2,Male,3
95AA,Antrim,8,Religion not stated,1,0-4 years,1,Female,9
95AA,Antrim,8,Religion not stated,1,0-4 years,2,Male,14
95AA,Antrim,8,Religion not stated,2,5-9 years,1,Female,18
95AA,Antrim,8,Religion not stated,2,5-9 years,2,Male,19
95AA,Antrim,8,Religion not stated,3,10-14 years,1,Female,18
95AA,Antrim,8,Religion not stated,3,10-14 years,2,Male,28
95AA,Antrim,8,Religion not stated,4,15-19 years,1,Female,19
95AA,Antrim,8,Religion not stated,4,15-19 years,2,Male,36
95AA,Antrim,8,Religion not stated,5,20-24 years,1,Female,14
95AA,Antrim,8,Religion not stated,5,20-24 years,2,Male,23
95AA,Antrim,8,Religion not stated,6,25-29 years,1,Female,28
95AA,Antrim,8,Religion not stated,6,25-29 years,2,Male,29
95AA,Antrim,8,Religion not stated,7,30-34 years,1,Female,18
95AA,Antrim,8,Religion not stated,7,30-34 years,2,Male,22
95AA,Antrim,8,Religion not stated,8,35-39 years,1,Female,20
95AA,Antrim,8,Religion not stated,8,35-39 years,2,Male,18
95AA,Antrim,8,Religion not stated,9,40-44 years,1,Female,20
95AA,Antrim,8,Religion not stated,9,40-44 years,2,Male,25
95AA,Antrim,8,Religion not stated,10,45-49 years,1,Female,19
95AA,Antrim,8,Religion not stated,10,45-49 years,2,Male,23
95AA,Antrim,8,Religion not stated,11,50-54 years,1,Female,21
95AA,Antrim,8,Religion not stated,11,50-54 years,2,Male,26
95AA,Antrim,8,Religion not stated,12,55-59 years,1,Female,24
95AA,Antrim,8,Religion not stated,12,55-59 years,2,Male,22
95AA,Antrim,8,Religion not stated,13,60-64 years,1,Female,37
95AA,Antrim,8,Religion not stated,13,60-64 years,2,Male,38
95AA,Antrim,8,Religion not stated,14,65-69 years,1,Female,29
95AA,Antrim,8,Religion not stated,14,65-69 years,2,Male,25
95AA,Antrim,8,Religion not stated,15,70-74 years,1,Female,38
95AA,Antrim,8,Religion not stated,15,70-74 years,2,Male,34
95AA,Antrim,8,Religion not stated,16,75-79 years,1,Female,36
95AA,Antrim,8,Religion not stated,16,75-79 years,2,Male,17
95AA,Antrim,8,Religion not stated,17,80-84 years,1,Female,24
95AA,Antrim,8,Religion not stated,17,80-84 years,2,Male,16
95AA,Antrim,8,Religion not stated,18,85-89 years,1,Female,7
95AA,Antrim,8,Religion not stated,18,85-89 years,2,Male,10
95AA,Antrim,8,Religion not stated,19,90+ years,1,Female,10
95AA,Antrim,8,Religion not stated,19,90+ years,2,Male,2
95BB,Ards,1,Catholic,1,0-4 years,1,Female,199
95BB,Ards,1,Catholic,1,0-4 years,2,Male,220
95BB,Ards,1,Catholic,2,5-9 years,1,Female,287
95BB,Ards,1,Catholic,2,5-9 years,2,Male,267
95BB,Ards,1,Catholic,3,10-14 years,1,Female,280
95BB,Ards,1,Catholic,3,10-14 years,2,Male,301
95BB,Ards,1,Catholic,4,15-19 years,1,Female,238
95BB,Ards,1,Catholic,4,15-19 years,2,Male,253
95BB,Ards,1,Catholic,5,20-24 years,1,Female,203
95BB,Ards,1,Catholic,5,20-24 years,2,Male,224
95BB,Ards,1,Catholic,6,25-29 years,1,Female,268
95BB,Ards,1,Catholic,6,25-29 years,2,Male,254
95BB,Ards,1,Catholic,7,30-34 years,1,Female,305
95BB,Ards,1,Catholic,7,30-34 years,2,Male,268
95BB,Ards,1,Catholic,8,35-39 years,1,Female,319
95BB,Ards,1,Catholic,8,35-39 years,2,Male,279
95BB,Ards,1,Catholic,9,40-44 years,1,Female,370
95BB,Ards,1,Catholic,9,40-44 years,2,Male,272
95BB,Ards,1,Catholic,10,45-49 years,1,Female,333
95BB,Ards,1,Catholic,10,45-49 years,2,Male,297
95BB,Ards,1,Catholic,11,50-54 years,1,Female,366
95BB,Ards,1,Catholic,11,50-54 years,2,Male,332
95BB,Ards,1,Catholic,12,55-59 years,1,Female,339
95BB,Ards,1,Catholic,12,55-59 years,2,Male,327
95BB,Ards,1,Catholic,13,60-64 years,1,Female,292
95BB,Ards,1,Catholic,13,60-64 years,2,Male,278
95BB,Ards,1,Catholic,14,65-69 years,1,Female,273
95BB,Ards,1,Catholic,14,65-69 years,2,Male,198
95BB,Ards,1,Catholic,15,70-74 years,1,Female,244
95BB,Ards,1,Catholic,15,70-74 years,2,Male,189
95BB,Ards,1,Catholic,16,75-79 years,1,Female,177
95BB,Ards,1,Catholic,16,75-79 years,2,Male,161
95BB,Ards,1,Catholic,17,80-84 years,1,Female,121
95BB,Ards,1,Catholic,17,80-84 years,2,Male,88
95BB,Ards,1,Catholic,18,85-89 years,1,Female,49
95BB,Ards,1,Catholic,18,85-89 years,2,Male,34
95BB,Ards,1,Catholic,19,90+ years,1,Female,45
95BB,Ards,1,Catholic,19,90+ years,2,Male,14
95BB,Ards,2,Presbyterian Church in Ireland,1,0-4 years,1,Female,412
95BB,Ards,2,Presbyterian Church in Ireland,1,0-4 years,2,Male,492
95BB,Ards,2,Presbyterian Church in Ireland,2,5-9 years,1,Female,664
95BB,Ards,2,Presbyterian Church in Ireland,2,5-9 years,2,Male,687
95BB,Ards,2,Presbyterian Church in Ireland,3,10-14 years,1,Female,702
95BB,Ards,2,Presbyterian Church in Ireland,3,10-14 years,2,Male,739
95BB,Ards,2,Presbyterian Church in Ireland,4,15-19 years,1,Female,596
95BB,Ards,2,Presbyterian Church in Ireland,4,15-19 years,2,Male,695
95BB,Ards,2,Presbyterian Church in Ireland,5,20-24 years,1,Female,508
95BB,Ards,2,Presbyterian Church in Ireland,5,20-24 years,2,Male,550
95BB,Ards,2,Presbyterian Church in Ireland,6,25-29 years,1,Female,531
95BB,Ards,2,Presbyterian Church in Ireland,6,25-29 years,2,Male,485
95BB,Ards,2,Presbyterian Church in Ireland,7,30-34 years,1,Female,646
95BB,Ards,2,Presbyterian Church in Ireland,7,30-34 years,2,Male,550
95BB,Ards,2,Presbyterian Church in Ireland,8,35-39 years,1,Female,689
95BB,Ards,2,Presbyterian Church in Ireland,8,35-39 years,2,Male,591
95BB,Ards,2,Presbyterian Church in Ireland,9,40-44 years,1,Female,730
95BB,Ards,2,Presbyterian Church in Ireland,9,40-44 years,2,Male,645
95BB,Ards,2,Presbyterian Church in Ireland,10,45-49 years,1,Female,831
95BB,Ards,2,Presbyterian Church in Ireland,10,45-49 years,2,Male,795
95BB,Ards,2,Presbyterian Church in Ireland,11,50-54 years,1,Female,1077
95BB,Ards,2,Presbyterian Church in Ireland,11,50-54 years,2,Male,959
95BB,Ards,2,Presbyterian Church in Ireland,12,55-59 years,1,Female,1142
95BB,Ards,2,Presbyterian Church in Ireland,12,55-59 years,2,Male,938
95BB,Ards,2,Presbyterian Church in Ireland,13,60-64 years,1,Female,1023
95BB,Ards,2,Presbyterian Church in Ireland,13,60-64 years,2,Male,914
95BB,Ards,2,Presbyterian Church in Ireland,14,65-69 years,1,Female,911
95BB,Ards,2,Presbyterian Church in Ireland,14,65-69 years,2,Male,833
95BB,Ards,2,Presbyterian Church in Ireland,15,70-74 years,1,Female,992
95BB,Ards,2,Presbyterian Church in Ireland,15,70-74 years,2,Male,875
95BB,Ards,2,Presbyterian Church in Ireland,16,75-79 years,1,Female,866
95BB,Ards,2,Presbyterian Church in Ireland,16,75-79 years,2,Male,773
95BB,Ards,2,Presbyterian Church in Ireland,17,80-84 years,1,Female,551
95BB,Ards,2,Presbyterian Church in Ireland,17,80-84 years,2,Male,430
95BB,Ards,2,Presbyterian Church in Ireland,18,85-89 years,1,Female,349
95BB,Ards,2,Presbyterian Church in Ireland,18,85-89 years,2,Male,224
95BB,Ards,2,Presbyterian Church in Ireland,19,90+ years,1,Female,219
95BB,Ards,2,Presbyterian Church in Ireland,19,90+ years,2,Male,97
95BB,Ards,3,Church of Ireland,1,0-4 years,1,Female,162
95BB,Ards,3,Church of Ireland,1,0-4 years,2,Male,163
95BB,Ards,3,Church of Ireland,2,5-9 years,1,Female,224
95BB,Ards,3,Church of Ireland,2,5-9 years,2,Male,232
95BB,Ards,3,Church of Ireland,3,10-14 years,1,Female,254
95BB,Ards,3,Church of Ireland,3,10-14 years,2,Male,276
95BB,Ards,3,Church of Ireland,4,15-19 years,1,Female,244
95BB,Ards,3,Church of Ireland,4,15-19 years,2,Male,273
95BB,Ards,3,Church of Ireland,5,20-24 years,1,Female,163
95BB,Ards,3,Church of Ireland,5,20-24 years,2,Male,226
95BB,Ards,3,Church of Ireland,6,25-29 years,1,Female,186
95BB,Ards,3,Church of Ireland,6,25-29 years,2,Male,183
95BB,Ards,3,Church of Ireland,7,30-34 years,1,Female,230
95BB,Ards,3,Church of Ireland,7,30-34 years,2,Male,158
95BB,Ards,3,Church of Ireland,8,35-39 years,1,Female,263
95BB,Ards,3,Church of Ireland,8,35-39 years,2,Male,199
95BB,Ards,3,Church of Ireland,9,40-44 years,1,Female,325
95BB,Ards,3,Church of Ireland,9,40-44 years,2,Male,244
95BB,Ards,3,Church of Ireland,10,45-49 years,1,Female,411
95BB,Ards,3,Church of Ireland,10,45-49 years,2,Male,331
95BB,Ards,3,Church of Ireland,11,50-54 years,1,Female,506
95BB,Ards,3,Church of Ireland,11,50-54 years,2,Male,378
95BB,Ards,3,Church of Ireland,12,55-59 years,1,Female,531
