census_year,geo_code,geography,sex,religion,age_band,yob,population
2011,95AA,Antrim,male,Presbyterian,15-19,1992-1996,397.0
2011,95AA,Antrim,female,Presbyterian,15-19,1992-1996,340.0
2011,95AA,Antrim,male,Church of Ireland,15-19,1992-1996,197.0
2011,95AA,Antrim,female,Church of Ireland,15-19,1992-1996,174.0
2011,95AA,Antrim,male,Methodist,15-19,1992-1996,22.0
2011,95AA,Antrim,female,Methodist,15-19,1992-1996,28.0
2011,95AA,Antrim,male,Other Christian,15-19,1992-1996,99.0
2011,95AA,Antrim,female,Other Christian,15-19,1992-1996,81.0
2011,95AA,Antrim,male,Other religions,15-19,1992-1996,13.0
2011,95AA,Antrim,female,Other religions,15-19,1992-1996,10.0
2011,95AA,Antrim,male,No religion,15-19,1992-1996,255.0
2011,95AA,Antrim,female,No religion,15-19,1992-1996,216.0
2011,95AA,Antrim,male,Not stated,15-19,1992-1996,103.0
2011,95AA,Antrim,female,Not stated,15-19,1992-1996,121.0
2011,95AA,Antrim,male,Catholic,20-24,1987-1991,718.0
2011,95AA,Antrim,female,Catholic,20-24,1987-1991,693.0
2011,95AA,Antrim,male,Presbyterian,20-24,1987-1991,375.0
2011,95AA,Antrim,female,Presbyterian,20-24,1987-1991,339.0
2011,95AA,Antrim,male,Church of Ireland,20-24,1987-1991,153.0
2011,95AA,Antrim,female,Church of Ireland,20-24,1987-1991,137.0
2011,95AA,Antrim,male,Methodist,20-24,1987-1991,19.0
2011,95AA,Antrim,female,Methodist,20-24,1987-1991,24.0
2011,95AA,Antrim,male,Other Christian,20-24,1987-1991,110.0
2011,95AA,Antrim,female,Other Christian,20-24,1987-1991,89.0
2011,95AA,Antrim,male,Other religions,20-24,1987-1991,16.0
2011,95AA,Antrim,female,Other religions,20-24,1987-1991,14.0
2011,95AA,Antrim,male,No religion,20-24,1987-1991,277.0
2011,95AA,Antrim,female,No religion,20-24,1987-1991,217.0
2011,95AA,Antrim,male,Not stated,20-24,1987-1991,111.0
2011,95AA,Antrim,female,Not stated,20-24,1987-1991,134.0
2011,95AA,Antrim,male,Catholic,25-29,1982-1986,683.0
2011,95AA,Antrim,female,Catholic,25-29,1982-1986,842.0
2011,95AA,Antrim,male,Presbyterian,25-29,1982-1986,344.0
2011,95AA,Antrim,female,Presbyterian,25-29,1982-1986,336.0
2011,95AA,Antrim,male,Church of Ireland,25-29,1982-1986,117.0
2011,95AA,Antrim,female,Church of Ireland,25-29,1982-1986,160.0
2011,95AA,Antrim,male,Methodist,25-29,1982-1986,7.0
2011,95AA,Antrim,female,Methodist,25-29,1982-1986,24.0
2011,95AA,Antrim,male,Other Christian,25-29,1982-1986,117.0
2011,95AA,Antrim,female,Other Christian,25-29,1982-1986,123.0
2011,95AA,Antrim,male,Other religions,25-29,1982-1986,14.0
2011,95AA,Antrim,female,Other religions,25-29,1982-1986,24.0
2011,95AA,Antrim,male,No religion,25-29,1982-1986,315.0
2011,95AA,Antrim,female,No religion,25-29,1982-1986,257.0
2011,95AA,Antrim,male,Not stated,25-29,1982-1986,129.0
2011,95AA,Antrim,female,Not stated,25-29,1982-1986,126.0
2011,95AA,Antrim,male,Catholic,30-34,1977-1981,708.0
2011,95AA,Antrim,female,Catholic,30-34,1977-1981,761.0
2011,95AA,Antrim,male,Presbyterian,30-34,1977-1981,340.0
2011,95AA,Antrim,female,Presbyterian,30-34,1977-1981,361.0
2011,95AA,Antrim,male,Church of Ireland,30-34,1977-1981,136.0
2011,95AA,Antrim,female,Church of Ireland,30-34,1977-1981,179.0
2011,95AA,Antrim,male,Methodist,30-34,1977-1981,15.0
2011,95AA,Antrim,female,Methodist,30-34,1977-1981,20.0
2011,95AA,Antrim,male,Other Christian,30-34,1977-1981,124.0
2011,95AA,Antrim,female,Other Christian,30-34,1977-1981,113.0
2011,95AA,Antrim,male,Other religions,30-34,1977-1981,29.0
2011,95AA,Antrim,female,Other religions,30-34,1977-1981,25.0
2011,95AA,Antrim,male,No religion,30-34,1977-1981,299.0
2011,95AA,Antrim,female,No religion,30-34,1977-1981,265.0
2011,95AA,Antrim,male,Not stated,30-34,1977-1981,124.0
2011,95AA,Antrim,female,Not stated,30-34,1977-1981,114.0
2011,95AA,Antrim,male,Catholic,35-39,1972-1976,668.0
2011,95AA,Antrim,female,Catholic,35-39,1972-1976,773.0
2011,95AA,Antrim,male,Presbyterian,35-39,1972-1976,444.0
2011,95AA,Antrim,female,Presbyterian,35-39,1972-1976,489.0
2011,95AA,Antrim,male,Church of Ireland,35-39,1972-1976,187.0
2011,95AA,Antrim,female,Church of Ireland,35-39,1972-1976,230.0
2011,95AA,Antrim,male,Methodist,35-39,1972-1976,20.0
2011,95AA,Antrim,female,Methodist,35-39,1972-1976,30.0
2011,95AA,Antrim,male,Other Christian,35-39,1972-1976,124.0
2011,95AA,Antrim,female,Other Christian,35-39,1972-1976,118.0
2011,95AA,Antrim,male,Other religions,35-39,1972-1976,24.0
2011,95AA,Antrim,female,Other religions,35-39,1972-1976,20.0
2011,95AA,Antrim,male,No religion,35-39,1972-1976,309.0
2011,95AA,Antrim,female,No religion,35-39,1972-1976,266.0
2011,95AA,Antrim,male,Not stated,35-39,1972-1976,108.0
2011,95AA,Antrim,female,Not stated,35-39,1972-1976,104.0
2011,95AA,Antrim,male,Catholic,40-44,1967-1971,723.0
2011,95AA,Antrim,female,Catholic,40-44,1967-1971,840.0
2011,95AA,Antrim,male,Presbyterian,40-44,1967-1971,486.0
2011,95AA,Antrim,female,Presbyterian,40-44,1967-1971,515.0
2011,95AA,Antrim,male,Church of Ireland,40-44,1967-1971,231.0
2011,95AA,Antrim,female,Church of Ireland,40-44,1967-1971,251.0
2011,95AA,Antrim,male,Methodist,40-44,1967-1971,33.0
2011,95AA,Antrim,female,Methodist,40-44,1967-1971,35.0
2011,95AA,Antrim,male,Other Christian,40-44,1967-1971,107.0
2011,95AA,Antrim,female,Other Christian,40-44,1967-1971,113.0
2011,95AA,Antrim,male,Other religions,40-44,1967-1971,16.0
2011,95AA,Antrim,female,Other religions,40-44,1967-1971,15.0
2011,95AA,Antrim,male,No religion,40-44,1967-1971,301.0
2011,95AA,Antrim,female,No religion,40-44,1967-1971,224.0
2011,95AA,Antrim,male,Not stated,40-44,1967-1971,123.0
2011,95AA,Antrim,female,Not stated,40-44,1967-1971,98.0
2011,95AA,Antrim,male,Catholic,45-49,1962-1966,718.0
2011,95AA,Antrim,female,Catholic,45-49,1962-1966,770.0
2011,95AA,Antrim,male,Presbyterian,45-49,1962-1966,493.0
2011,95AA,Antrim,female,Presbyterian,45-49,1962-1966,539.0
2011,95AA,Antrim,male,Church of Ireland,45-49,1962-1966,214.0
2011,95AA,Antrim,female,Church of Ireland,45-49,1962-1966,246.0
2011,95AA,Antrim,male,Methodist,45-49,1962-1966,35.0
2011,95AA,Antrim,female,Methodist,45-49,1962-1966,37.0
2011,95AA,Antrim,male,Other Christian,45-49,1962-1966,122.0
2011,95AA,Antrim,female,Other Christian,45-49,1962-1966,112.0
2011,95AA,Antrim,male,Other religions,45-49,1962-1966,19.0
2011,95AA,Antrim,female,Other religions,45-49,1962-1966,18.0
2011,95AA,Antrim,male,No religion,45-49,1962-1966,275.0
2011,95AA,Antrim,female,No religion,45-49,1962-1966,180.0
2011,95AA,Antrim,male,Not stated,45-49,1962-1966,112.0
2011,95AA,Antrim,female,Not stated,45-49,1962-1966,108.0
2011,95AA,Antrim,male,Catholic,50-54,1957-1961,613.0
2011,95AA,Antrim,female,Catholic,50-54,1957-1961,644.0
2011,95AA,Antrim,male,Presbyterian,50-54,1957-1961,450.0
2011,95AA,Antrim,female,Presbyterian,50-54,1957-1961,473.0
2011,95AA,Antrim,male,Church of Ireland,50-54,1957-1961,177.0
2011,95AA,Antrim,female,Church of Ireland,50-54,1957-1961,195.0
2011,95AA,Antrim,male,Methodist,50-54,1957-1961,19.0
2011,95AA,Antrim,female,Methodist,50-54,1957-1961,20.0
2011,95AA,Antrim,male,Other Christian,50-54,1957-1961,92.0
2011,95AA,Antrim,female,Other Christian,50-54,1957-1961,94.0
2011,95AA,Antrim,male,Other religions,50-54,1957-1961,10.0
2011,95AA,Antrim,female,Other religions,50-54,1957-1961,7.0
2011,95AA,Antrim,male,No religion,50-54,1957-1961,190.0
2011,95AA,Antrim,female,No religion,50-54,1957-1961,136.0
2011,95AA,Antrim,male,Not stated,50-54,1957-1961,94.0
2011,95AA,Antrim,female,Not stated,50-54,1957-1961,80.0
2011,95AA,Antrim,male,Catholic,55-59,1952-1956,497.0
2011,95AA,Antrim,female,Catholic,55-59,1952-1956,518.0
2011,95AA,Antrim,male,Presbyterian,55-59,1952-1956,379.0
2011,95AA,Antrim,female,Presbyterian,55-59,1952-1956,383.0
2011,95AA,Antrim,male,Church of Ireland,55-59,1952-1956,185.0
2011,95AA,Antrim,female,Church of Ireland,55-59,1952-1956,203.0
2011,95AA,Antrim,male,Methodist,55-59,1952-1956,23.0
2011,95AA,Antrim,female,Methodist,55-59,1952-1956,31.0
2011,95AA,Antrim,male,Other Christian,55-59,1952-1956,85.0
2011,95AA,Antrim,female,Other Christian,55-59,1952-1956,82.0
2011,95AA,Antrim,male,Other religions,55-59,1952-1956,15.0
2011,95AA,Antrim,female,Other religions,55-59,1952-1956,14.0
2011,95AA,Antrim,male,No religion,55-59,1952-1956,173.0
2011,95AA,Antrim,female,No religion,55-59,1952-1956,126.0
2011,95AA,Antrim,male,Not stated,55-59,1952-1956,70.0
2011,95AA,Antrim,female,Not stated,55-59,1952-1956,67.0
2011,95AA,Antrim,male,Catholic,60-64,1947-1951,370.0
2011,95AA,Antrim,female,Catholic,60-64,1947-1951,458.0
2011,95AA,Antrim,male,Presbyterian,60-64,1947-1951,480.0
2011,95AA,Antrim,female,Presbyterian,60-64,1947-1951,478.0
2011,95AA,Antrim,male,Church of Ireland,60-64,1947-1951,174.0
2011,95AA,Antrim,female,Church of Ireland,60-64,1947-1951,222.0
2011,95AA,Antrim,male,Methodist,60-64,1947-1951,29.0
2011,95AA,Antrim,female,Methodist,60-64,1947-1951,33.0
2011,95AA,Antrim,male,Other Christian,60-64,1947-1951,86.0
2011,95AA,Antrim,female,Other Christian,60-64,1947-1951,85.0
2011,95AA,Antrim,male,Other religions,60-64,1947-1951,6.0
2011,95AA,Antrim,female,Other religions,60-64,1947-1951,9.0
2011,95AA,Antrim,male,No religion,60-64,1947-1951,160.0
2011,95AA,Antrim,female,No religion,60-64,1947-1951,78.0
2011,95AA,Antrim,male,Not stated,60-64,1947-1951,82.0
2011,95AA,Antrim,female,Not stated,60-64,1947-1951,73.0
2011,95AA,Antrim,male,Catholic,65-69,1942-1946,309.0
2011,95AA,Antrim,female,Catholic,65-69,1942-1946,366.0
2011,95AA,Antrim,male,Presbyterian,65-69,1942-1946,438.0
2011,95AA,Antrim,female,Presbyterian,65-69,1942-1946,476.0
2011,95AA,Antrim,male,Church of Ireland,65-69,1942-1946,164.0
2011,95AA,Antrim,female,Church of Ireland,65-69,1942-1946,208.0
2011,95AA,Antrim,male,Methodist,65-69,1942-1946,14.0
2011,95AA,Antrim,female,Methodist,65-69,1942-1946,21.0
2011,95AA,Antrim,male,Other Christian,65-69,1942-1946,63.0
2011,95AA,Antrim,female,Other Christian,65-69,1942-1946,85.0
2011,95AA,Antrim,male,Other religions,65-69,1942-1946,7.0
2011,95AA,Antrim,female,Other religions,65-69,1942-1946,10.0
2011,95AA,Antrim,male,No religion,65-69,1942-1946,97.0
2011,95AA,Antrim,female,No religion,65-69,1942-1946,58.0
2011,95AA,Antrim,male,Not stated,65-69,1942-1946,68.0
2011,95AA,Antrim,female,Not stated,65-69,1942-1946,58.0
2011,95AA,Antrim,male,Catholic,70-74,1937-1941,208.0
2011,95AA,Antrim,female,Catholic,70-74,1937-1941,252.0
2011,95AA,Antrim,male,Presbyterian,70-74,1937-1941,311.0
2011,95AA,Antrim,female,Presbyterian,70-74,1937-1941,371.0
2011,95AA,Antrim,male,Church of Ireland,70-74,1937-1941,130.0
2011,95AA,Antrim,female,Church of Ireland,70-74,1937-1941,144.0
2011,95AA,Antrim,male,Methodist,70-74,1937-1941,15.0
2011,95AA,Antrim,female,Methodist,70-74,1937-1941,24.0
2011,95AA,Antrim,male,Other Christian,70-74,1937-1941,43.0
2011,95AA,Antrim,female,Other Christian,70-74,1937-1941,59.0
2011,95AA,Antrim,male,Other religions,70-74,1937-1941,5.0
2011,95AA,Antrim,female,Other religions,70-74,1937-1941,5.0
2011,95AA,Antrim,male,No religion,70-74,1937-1941,50.0
2011,95AA,Antrim,female,No religion,70-74,1937-1941,20.0
2011,95AA,Antrim,male,Not stated,70-74,1937-1941,43.0
2011,95AA,Antrim,female,Not stated,70-74,1937-1941,67.0
2011,95AA,Antrim,male,Catholic,75-79,1932-1936,157.0
2011,95AA,Antrim,female,Catholic,75-79,1932-1936,214.0
2011,95AA,Antrim,male,Presbyterian,75-79,1932-1936,233.0
2011,95AA,Antrim,female,Presbyterian,75-79,1932-1936,269.0
2011,95AA,Antrim,male,Church of Ireland,75-79,1932-1936,96.0
2011,95AA,Antrim,female,Church of Ireland,75-79,1932-1936,126.0
2011,95AA,Antrim,male,Methodist,75-79,1932-1936,17.0
2011,95AA,Antrim,female,Methodist,75-79,1932-1936,21.0
2011,95AA,Antrim,male,Other Christian,75-79,1932-1936,28.0
2011,95AA,Antrim,female,Other Christian,75-79,1932-1936,29.0
2011,95AA,Antrim,male,Other religions,75-79,1932-1936,4.0
2011,95AA,Antrim,female,Other religions,75-79,1932-1936,1.0
2011,95AA,Antrim,male,No religion,75-79,1932-1936,34.0
2011,95AA,Antrim,female,No religion,75-79,1932-1936,11.0
2011,95AA,Antrim,male,Not stated,75-79,1932-1936,41.0
2011,95AA,Antrim,female,Not stated,75-79,1932-1936,39.0
2011,95AA,Antrim,male,Catholic,80-84,pre-1932,84.0
2011,95AA,Antrim,female,Catholic,80-84,pre-1932,126.0
2011,95AA,Antrim,male,Presbyterian,80-84,pre-1932,136.0
2011,95AA,Antrim,female,Presbyterian,80-84,pre-1932,218.0
2011,95AA,Antrim,male,Church of Ireland,80-84,pre-1932,51.0
2011,95AA,Antrim,female,Church of Ireland,80-84,pre-1932,83.0
2011,95AA,Antrim,male,Methodist,80-84,pre-1932,5.0
2011,95AA,Antrim,female,Methodist,80-84,pre-1932,11.0
2011,95AA,Antrim,male,Other Christian,80-84,pre-1932,20.0
2011,95AA,Antrim,female,Other Christian,80-84,pre-1932,20.0
2011,95AA,Antrim,male,Other religions,80-84,pre-1932,1.0
2011,95AA,Antrim,female,Other religions,80-84,pre-1932,3.0
2011,95AA,Antrim,male,No religion,80-84,pre-1932,15.0
2011,95AA,Antrim,female,No religion,80-84,pre-1932,9.0
2011,95AA,Antrim,male,Not stated,80-84,pre-1932,16.0
2011,95AA,Antrim,female,Not stated,80-84,pre-1932,33.0
2011,95AA,Antrim,male,Catholic,85-89,pre-1932,35.0
2011,95AA,Antrim,female,Catholic,85-89,pre-1932,94.0
2011,95AA,Antrim,male,Presbyterian,85-89,pre-1932,65.0
2011,95AA,Antrim,female,Presbyterian,85-89,pre-1932,132.0
2011,95AA,Antrim,male,Church of Ireland,85-89,pre-1932,23.0
2011,95AA,Antrim,female,Church of Ireland,85-89,pre-1932,45.0
2011,95AA,Antrim,male,Methodist,85-89,pre-1932,5.0
2011,95AA,Antrim,female,Methodist,85-89,pre-1932,8.0
2011,95AA,Antrim,male,Other Christian,85-89,pre-1932,9.0
2011,95AA,Antrim,female,Other Christian,85-89,pre-1932,15.0
2011,95AA,Antrim,male,Other religions,85-89,pre-1932,0.0
2011,95AA,Antrim,female,Other religions,85-89,pre-1932,0.0
2011,95AA,Antrim,male,No religion,85-89,pre-1932,8.0
2011,95AA,Antrim,female,No religion,85-89,pre-1932,5.0
2011,95AA,Antrim,male,Not stated,85-89,pre-1932,22.0
2011,95AA,Antrim,female,Not stated,85-89,pre-1932,27.0
2011,95AA,Antrim,male,Catholic,90+,pre-1932,15.0
2011,95AA,Antrim,female,Catholic,90+,pre-1932,38.0
2011,95AA,Antrim,male,Presbyterian,90+,pre-1932,27.0
2011,95AA,Antrim,female,Presbyterian,90+,pre-1932,76.0
2011,95AA,Antrim,male,Church of Ireland,90+,pre-1932,14.0
2011,95AA,Antrim,female,Church of Ireland,90+,pre-1932,21.0
2011,95AA,Antrim,male,Methodist,90+,pre-1932,1.0
2011,95AA,Antrim,female,Methodist,90+,pre-1932,8.0
2011,95AA,Antrim,male,Other Christian,90+,pre-1932,4.0
2011,95AA,Antrim,female,Other Christian,90+,pre-1932,7.0
2011,95AA,Antrim,male,Other religions,90+,pre-1932,2.0
2011,95AA,Antrim,female,Other religions,90+,pre-1932,0.0
2011,95AA,Antrim,male,No religion,90+,pre-1932,0.0
2011,95AA,Antrim,female,No religion,90+,pre-1932,2.0
2011,95AA,Antrim,male,Not stated,90+,pre-1932,7.0
2011,95AA,Antrim,female,Not stated,90+,pre-1932,16.0
2011,95BB,Ards,male,Catholic,0-4,2007-2011,253.0
2011,95BB,Ards,female,Catholic,0-4,2007-2011,254.0
2011,95BB,Ards,male,Presbyterian,0-4,2007-2011,720.0
2011,95BB,Ards,female,Presbyterian,0-4,2007-2011,735.0
2011,95BB,Ards,male,Church of Ireland,0-4,2007-2011,294.0
2011,95BB,Ards,female,Church of Ireland,0-4,2007-2011,288.0
2011,95BB,Ards,male,Methodist,0-4,2007-2011,87.0
2011,95BB,Ards,female,Methodist,0-4,2007-2011,55.0
2011,95BB,Ards,male,Other Christian,0-4,2007-2011,195.0
2011,95BB,Ards,female,Other Christian,0-4,2007-2011,178.0
2011,95BB,Ards,male,Other religions,0-4,2007-2011,23.0
2011,95BB,Ards,female,Other religions,0-4,2007-2011,22.0
2011,95BB,Ards,male,No religion,0-4,2007-2011,687.0
2011,95BB,Ards,female,No religion,0-4,2007-2011,570.0
2011,95BB,Ards,male,Not stated,0-4,2007-2011,206.0
2011,95BB,Ards,female,Not stated,0-4,2007-2011,180.0
2011,95BB,Ards,male,Catholic,5-9,2002-2006,284.0
2011,95BB,Ards,female,Catholic,5-9,2002-2006,273.0
2011,95BB,Ards,male,Presbyterian,5-9,2002-2006,785.0
2011,95BB,Ards,female,Presbyterian,5-9,2002-2006,725.0
2011,95BB,Ards,male,Church of Ireland,5-9,2002-2006,349.0
2011,95BB,Ards,female,Church of Ireland,5-9,2002-2006,325.0
2011,95BB,Ards,male,Methodist,5-9,2002-2006,87.0
2011,95BB,Ards,female,Methodist,5-9,2002-2006,98.0
2011,95BB,Ards,male,Other Christian,5-9,2002-2006,204.0
2011,95BB,Ards,female,Other Christian,5-9,2002-2006,195.0
2011,95BB,Ards,male,Other religions,5-9,2002-2006,21.0
2011,95BB,Ards,female,Other religions,5-9,2002-2006,33.0
2011,95BB,Ards,male,No religion,5-9,2002-2006,509.0
2011,95BB,Ards,female,No religion,5-9,2002-2006,452.0
2011,95BB,Ards,male,Not stated,5-9,2002-2006,157.0
2011,95BB,Ards,female,Not stated,5-9,2002-2006,157.0
2011,95BB,Ards,male,Catholic,10-14,1997-2001,261.0
2011,95BB,Ards,female,Catholic,10-14,1997-2001,263.0
2011,95BB,Ards,male,Presbyterian,10-14,1997-2001,934.0
2011,95BB,Ards,female,Presbyterian,10-14,1997-2001,857.0
2011,95BB,Ards,male,Church of Ireland,10-14,1997-2001,374.0
2011,95BB,Ards,female,Church of Ireland,10-14,1997-2001,335.0
2011,95BB,Ards,male,Methodist,10-14,1997-2001,102.0
2011,95BB,Ards,female,Methodist,10-14,1997-2001,99.0
2011,95BB,Ards,male,Other Christian,10-14,1997-2001,239.0
2011,95BB,Ards,female,Other Christian,10-14,1997-2001,217.0
2011,95BB,Ards,male,Other religions,10-14,1997-2001,23.0
2011,95BB,Ards,female,Other religions,10-14,1997-2001,19.0
2011,95BB,Ards,male,No religion,10-14,1997-2001,452.0
2011,95BB,Ards,female,No religion,10-14,1997-2001,407.0
2011,95BB,Ards,male,Not stated,10-14,1997-2001,159.0
2011,95BB,Ards,female,Not stated,10-14,1997-2001,138.0
2011,95BB,Ards,male,Catholic,15-19,1992-1996,277.0
2011,95BB,Ards,female,Catholic,15-19,1992-1996,262.0
2011,95BB,Ards,male,Presbyterian,15-19,1992-1996,823.0
2011,95BB,Ards,female,Presbyterian,15-19,1992-1996,848.0
2011,95BB,Ards,male,Church of Ireland,15-19,1992-1996,381.0
2011,95BB,Ards,female,Church of Ireland,15-19,1992-1996,360.0
2011,95BB,Ards,male,Methodist,15-19,1992-1996,114.0
2011,95BB,Ards,female,Methodist,15-19,1992-1996,87.0
2011,95BB,Ards,male,Other Christian,15-19,1992-1996,178.0
2011,95BB,Ards,female,Other Christian,15-19,1992-1996,197.0
2011,95BB,Ards,male,Other religions,15-19,1992-1996,17.0
2011,95BB,Ards,female,Other religions,15-19,1992-1996,14.0
2011,95BB,Ards,male,No religion,15-19,1992-1996,524.0
2011,95BB,Ards,female,No religion,15-19,1992-1996,433.0
2011,95BB,Ards,male,Not stated,15-19,1992-1996,134.0
2011,95BB,Ards,female,Not stated,15-19,1992-1996,133.0
2011,95BB,Ards,male,Catholic,20-24,1987-1991,274.0
2011,95BB,Ards,female,Catholic,20-24,1987-1991,258.0
2011,95BB,Ards,male,Presbyterian,20-24,1987-1991,795.0
2011,95BB,Ards,female,Presbyterian,20-24,1987-1991,740.0
2011,95BB,Ards,male,Church of Ireland,20-24,1987-1991,303.0
2011,95BB,Ards,female,Church of Ireland,20-24,1987-1991,277.0
2011,95BB,Ards,male,Methodist,20-24,1987-1991,78.0
2011,95BB,Ards,female,Methodist,20-24,1987-1991,84.0
2011,95BB,Ards,male,Other Christian,20-24,1987-1991,148.0
2011,95BB,Ards,female,Other Christian,20-24,1987-1991,167.0
2011,95BB,Ards,male,Other religions,20-24,1987-1991,19.0
2011,95BB,Ards,female,Other religions,20-24,1987-1991,15.0
2011,95BB,Ards,male,No religion,20-24,1987-1991,544.0
2011,95BB,Ards,female,No religion,20-24,1987-1991,432.0
2011,95BB,Ards,male,Not stated,20-24,1987-1991,125.0
2011,95BB,Ards,female,Not stated,20-24,1987-1991,145.0
2011,95BB,Ards,male,Catholic,25-29,1982-1986,304.0
2011,95BB,Ards,female,Catholic,25-29,1982-1986,300.0
2011,95BB,Ards,male,Presbyterian,25-29,1982-1986,694.0
2011,95BB,Ards,female,Presbyterian,25-29,1982-1986,755.0
2011,95BB,Ards,male,Church of Ireland,25-29,1982-1986,255.0
2011,95BB,Ards,female,Church of Ireland,25-29,1982-1986,261.0
2011,95BB,Ards,male,Methodist,25-29,1982-1986,50.0
2011,95BB,Ards,female,Methodist,25-29,1982-1986,77.0
2011,95BB,Ards,male,Other Christian,25-29,1982-1986,151.0
2011,95BB,Ards,female,Other Christian,25-29,1982-1986,217.0
2011,95BB,Ards,male,Other religions,25-29,1982-1986,20.0
2011,95BB,Ards,female,Other religions,25-29,1982-1986,27.0
2011,95BB,Ards,male,No religion,25-29,1982-1986,517.0
2011,95BB,Ards,female,No religion,25-29,1982-1986,469.0
2011,95BB,Ards,male,Not stated,25-29,1982-1986,132.0
2011,95BB,Ards,female,Not stated,25-29,1982-1986,137.0
2011,95BB,Ards,male,Catholic,30-34,1977-1981,288.0
2011,95BB,Ards,female,Catholic,30-34,1977-1981,350.0
2011,95BB,Ards,male,Presbyterian,30-34,1977-1981,670.0
2011,95BB,Ards,female,Presbyterian,30-34,1977-1981,774.0
2011,95BB,Ards,male,Church of Ireland,30-34,1977-1981,261.0
2011,95BB,Ards,female,Church of Ireland,30-34,1977-1981,351.0
2011,95BB,Ards,male,Methodist,30-34,1977-1981,75.0
2011,95BB,Ards,female,Methodist,30-34,1977-1981,89.0
2011,95BB,Ards,male,Other Christian,30-34,1977-1981,172.0
2011,95BB,Ards,female,Other Christian,30-34,1977-1981,223.0
2011,95BB,Ards,male,Other religions,30-34,1977-1981,32.0
2011,95BB,Ards,female,Other religions,30-34,1977-1981,33.0
2011,95BB,Ards,male,No religion,30-34,1977-1981,487.0
2011,95BB,Ards,female,No religion,30-34,1977-1981,452.0
2011,95BB,Ards,male,Not stated,30-34,1977-1981,142.0
2011,95BB,Ards,female,Not stated,30-34,1977-1981,127.0
2011,95BB,Ards,male,Catholic,35-39,1972-1976,276.0
2011,95BB,Ards,female,Catholic,35-39,1972-1976,341.0
